population_size, number_of_runs, simple_recombination, simple_mutation, roulette, converge_all, successes, avg_n_generations, least_n_generations, largest_n_generations, avg_indie_eval, avg_worst_indie_eval, time
10, 30, False, False, False, False, 30, 85.43, 6, 393, 1.47, 3.23, 2.27
10, 30, False, False, False, True, 30, 299.23, 72, 841, 0.00, 0.00, 7.85
10, 30, False, False, True, False, 30, 93.20, 0, 326, 1.36, 3.37, 2.01
10, 30, False, False, True, True, 30, 335.63, 70, 715, 0.00, 0.00, 7.13
10, 30, False, True, False, False, 14, 15462.13, 3688, 20000, 1.84, 7.00, 413.64
10, 30, False, True, False, True, 13, 20000.00, 20000, 20000, 1.98, 7.60, 524.78
10, 30, False, True, True, False, 15, 15463.80, 644, 20000, 1.84, 7.03, 364.74
10, 30, False, True, True, True, 14, 20000.00, 20000, 20000, 1.99, 7.53, 475.67
10, 30, True, False, False, False, 23, 4775.13, 8, 20000, 1.39, 3.63, 132.84
10, 30, True, False, False, True, 22, 5617.03, 121, 20000, 0.45, 1.27, 144.92
10, 30, True, False, True, False, 23, 4798.73, 0, 20000, 1.53, 3.80, 108.34
10, 30, True, False, True, True, 26, 3068.13, 143, 20000, 0.20, 0.57, 69.83
10, 30, True, True, False, False, 17, 13497.87, 1382, 20000, 1.91, 7.17, 362.42
10, 30, True, True, False, True, 18, 20000.00, 20000, 20000, 1.96, 7.83, 533.85
10, 30, True, True, True, False, 12, 16032.03, 3945, 20000, 1.87, 7.07, 342.43
10, 30, True, True, True, True, 16, 20000.00, 20000, 20000, 2.05, 7.90, 430.76
50, 30, False, False, False, False, 30, 78.43, 0, 206, 2.27, 3.67, 8.63
50, 30, False, False, False, True, 30, 1085.23, 682, 1583, 0.00, 0.00, 117.19
50, 30, False, False, True, False, 30, 100.97, 0, 336, 2.26, 3.73, 10.65
50, 30, False, False, True, True, 30, 1357.80, 625, 2641, 0.00, 0.00, 140.18
50, 30, False, True, False, False, 14, 14283.93, 0, 20000, 2.03, 7.27, 1595.37
50, 30, False, True, False, True, 15, 20000.00, 20000, 20000, 1.84, 7.33, 2180.13
50, 30, False, True, True, False, 10, 16669.40, 0, 20000, 2.00, 6.87, 1721.25
50, 30, False, True, True, True, 13, 20000.00, 20000, 20000, 1.86, 7.23, 2051.21
50, 30, True, False, False, False, 29, 1371.70, 0, 20000, 1.74, 3.77, 143.54
50, 30, True, False, False, True, 29, 2167.30, 715, 20000, 0.04, 0.17, 226.83
50, 30, True, False, True, False, 30, 635.83, 0, 2177, 2.05, 3.97, 67.70
50, 30, True, False, True, True, 29, 2488.83, 814, 20000, 0.04, 0.17, 250.84
50, 30, True, True, False, False, 13, 14649.23, 0, 20000, 2.04, 6.90, 1626.80
50, 30, True, True, False, True, 13, 20000.00, 20000, 20000, 1.84, 7.70, 2244.92
50, 30, True, True, True, False, 17, 13092.57, 0, 20000, 2.13, 6.80, 1462.28
50, 30, True, True, True, True, 14, 20000.00, 20000, 20000, 1.85, 7.50, 2485.08
100, 30, False, False, False, False, 30, 133.77, 0, 449, 2.49, 4.37, 42.28
100, 30, False, False, False, True, 30, 2327.30, 1454, 3066, 0.00, 0.00, 560.44
100, 30, False, False, True, False, 30, 148.73, 0, 557, 2.39, 3.73, 38.10
100, 30, False, False, True, True, 30, 2972.43, 1703, 4673, 0.00, 0.00, 698.17
100, 30, False, True, False, False, 19, 10020.03, 0, 20000, 2.52, 6.83, 2408.20
100, 30, False, True, False, True, 14, 20000.00, 20000, 20000, 1.91, 7.07, 4186.49
100, 30, False, True, True, False, 22, 9479.97, 0, 20000, 2.54, 6.63, 1907.04
100, 30, False, True, True, True, 19, 20000.00, 20000, 20000, 1.93, 8.03, 4031.30
100, 30, True, False, False, False, 30, 607.70, 0, 1760, 2.36, 4.03, 124.11
100, 30, True, False, False, True, 30, 3303.47, 1668, 5667, 0.00, 0.00, 666.87
100, 30, True, False, True, False, 30, 748.43, 0, 3358, 2.44, 4.37, 150.05
100, 30, True, False, True, True, 30, 4111.27, 1384, 6135, 0.00, 0.00, 818.64
100, 30, True, True, False, False, 24, 7541.50, 0, 20000, 2.68, 6.50, 1554.79
100, 30, True, True, False, True, 15, 20000.00, 20000, 20000, 1.93, 7.63, 4160.98
100, 30, True, True, True, False, 15, 12890.80, 0, 20000, 2.42, 6.83, 2612.52
100, 30, True, True, True, True, 21, 20000.00, 20000, 20000, 1.93, 7.77, 4078.75
10, 100, False, False, False, False, 100, 118.13, 0, 492, 1.35, 3.30, 10.14
10, 100, False, False, False, True, 100, 270.17, 62, 883, 0.00, 0.00, 22.60
10, 100, False, False, True, False, 100, 114.84, 0, 563, 1.42, 3.32, 7.95
10, 100, False, False, True, True, 100, 327.84, 66, 1173, 0.00, 0.00, 22.05
10, 100, False, True, False, False, 53, 14906.46, 0, 20000, 1.86, 7.01, 1278.80
10, 100, False, True, False, True, 51, 20000.00, 20000, 20000, 1.92, 7.16, 1750.77
10, 100, False, True, True, False, 45, 15578.66, 0, 20000, 1.91, 7.07, 1085.84
10, 100, False, True, True, True, 52, 20000.00, 20000, 20000, 1.97, 7.49, 1394.62
10, 100, True, False, False, False, 79, 4355.65, 0, 20000, 1.43, 3.47, 362.85
10, 100, True, False, False, True, 78, 4707.12, 111, 20000, 0.34, 0.94, 384.18
10, 100, True, False, True, False, 77, 4773.64, 0, 20000, 1.45, 3.64, 315.91
10, 100, True, False, True, True, 72, 5960.72, 62, 20000, 0.45, 1.30, 397.15
10, 100, True, True, False, False, 49, 15370.74, 0, 20000, 1.83, 6.73, 1325.47
10, 100, True, True, False, True, 61, 20000.00, 20000, 20000, 1.93, 7.47, 1713.43
10, 100, True, True, True, False, 50, 14548.03, 0, 20000, 2.00, 7.27, 1002.83
10, 100, True, True, True, True, 52, 20000.00, 20000, 20000, 2.00, 7.59, 1391.26
50, 100, False, False, False, False, 100, 125.45, 0, 556, 2.07, 3.57, 44.48
50, 100, False, False, False, True, 100, 1043.90, 540, 2102, 0.00, 0.00, 361.17
50, 100, False, False, True, False, 100, 129.66, 0, 689, 2.18, 4.03, 43.59
50, 100, False, False, True, True, 100, 1360.41, 661, 2240, 0.00, 0.00, 448.78
50, 100, False, True, False, False, 54, 13253.38, 0, 20000, 2.12, 7.14, 4651.66
50, 100, False, True, False, True, 44, 20000.00, 20000, 20000, 1.82, 7.69, 7082.41
50, 100, False, True, True, False, 49, 13064.90, 0, 20000, 2.19, 6.83, 4433.58
50, 100, False, True, True, True, 43, 20000.00, 20000, 20000, 1.86, 7.24, 6948.18
50, 100, True, False, False, False, 98, 836.46, 0, 20000, 1.94, 3.62, 293.65
50, 100, True, False, False, True, 100, 1541.65, 640, 3826, 0.00, 0.00, 587.28
50, 100, True, False, True, False, 100, 642.36, 0, 3277, 2.07, 3.98, 228.18
50, 100, True, False, True, True, 99, 2315.28, 756, 20000, 0.01, 0.05, 813.94
50, 100, True, True, False, False, 51, 12952.12, 0, 20000, 2.19, 7.27, 4758.39
50, 100, True, True, False, True, 46, 20000.00, 20000, 20000, 1.85, 7.77, 8031.95
50, 100, True, True, True, False, 52, 13638.44, 0, 20000, 2.09, 7.23, 4949.05
